Scenario,ground_r_value,infiltration,heating_set_point,cooling_set_point,heating_cop,cooling_cop,equipment_density,lighting_density,occupant_density,scheduled_ventilation_ach,dhw_flow_rate,Total Operational Energy,Natural Gas,Electricity
S1,3.288,0.1,20,23.1,0.8,4.5,5,5,0.013,0.1,1.58E-05,17032086.19,3170702.905,13861383.29
S2,3.288,0.1,20,23.1,0.8,4.5,5,5,0.013,0.1,0.000709,31739539.62,17871747.1,13867792.52
S3,3.288,0.1,20,23.1,0.8,4.5,5,5,0.013,1,1.58E-05,17310429.65,3447513.008,13862916.64
S4,3.288,0.1,20,23.1,0.8,4.5,5,5,0.013,1,0.000709,32012303.98,18158936.26,13853367.72
S5,3.288,0.1,20,23.1,0.8,4.5,5,5,0.103,0.1,1.58E-05,18432652.29,4050000.308,14382651.98
S6,3.288,0.1,20,23.1,0.8,4.5,5,5,0.103,0.1,0.000709,33076163.82,18691541.06,14384622.75
S7,3.288,0.1,20,23.1,0.8,4.5,5,5,0.103,1,1.58E-05,18750955.71,4374551.276,14376404.44
S8,3.288,0.1,20,23.1,0.8,4.5,5,5,0.103,1,0.000709,33420668.33,19037456.3,14383212.03
S9,3.288,0.1,20,23.1,0.8,4.5,5,15,0.013,0.1,1.58E-05,27112894.53,1026211.88,26086682.65
S10,3.288,0.1,20,23.1,0.8,4.5,5,15,0.013,0.1,0.000709,39970763.08,13877389.89,26093373.19
S11,3.288,0.1,20,23.1,0.8,4.5,5,15,0.013,1,1.58E-05,27288738.8,1200876.431,26087862.37
S12,3.288,0.1,20,23.1,0.8,4.5,5,15,0.013,1,0.000709,41953301.41,15883691.94,26069609.47
S13,3.288,0.1,20,23.1,0.8,4.5,5,15,0.103,0.1,1.58E-05,28383011.54,1769052.37,26613959.17
S14,3.288,0.1,20,23.1,0.8,4.5,5,15,0.103,0.1,0.000709,43070608.15,16458669,26611939.15
S15,3.288,0.1,20,23.1,0.8,4.5,5,15,0.103,1,1.58E-05,28576851.47,1987494.235,26589357.24
S16,3.288,0.1,20,23.1,0.8,4.5,5,15,0.103,1,0.000709,43232850.63,16645485.99,26587364.64
S17,3.288,0.1,20,23.1,0.8,4.5,15,5,0.013,0.1,1.58E-05,27122747.76,986028.7915,26136718.97
S18,3.288,0.1,20,23.1,0.8,4.5,15,5,0.013,0.1,0.000709,41802948.08,15670307.59,26132640.5
S19,3.288,0.1,20,23.1,0.8,4.5,15,5,0.013,1,1.58E-05,27255627.73,1149743.266,26105884.47
S20,3.288,0.1,20,23.1,0.8,4.5,15,5,0.013,1,0.000709,41929249.66,15829280.54,26099969.12
S21,3.288,0.1,20,23.1,0.8,4.5,15,5,0.103,0.1,1.58E-05,30054367.58,3490206.138,26564161.45
S22,3.288,0.1,20,23.1,0.8,4.5,15,5,0.103,0.1,0.000709,43032623.37,16409982.92,26622640.45
S23,3.288,0.1,20,23.1,0.8,4.5,15,5,0.103,1,1.58E-05,28566461.85,1929399.972,26637061.88
S24,3.288,0.1,20,23.1,0.8,4.5,15,5,0.103,1,0.000709,41389694.13,14765485.92,26624208.21
S25,3.288,0.1,20,23.1,0.8,4.5,15,15,0.013,0.1,1.58E-05,38828304.14,470385.9328,38357918.2
S26,3.288,0.1,20,23.1,0.8,4.5,15,15,0.013,0.1,0.000709,53491581.81,15146683.96,38344897.85
S27,3.288,0.1,20,23.1,0.8,4.5,15,15,0.013,1,1.58E-05,38854287.94,507138.1427,38347149.8
S28,3.288,0.1,20,23.1,0.8,4.5,15,15,0.013,1,0.000709,51690582.91,13344973.39,38345609.52
S29,3.288,0.1,20,23.1,0.8,4.5,15,15,0.103,0.1,1.58E-05,39606963.49,750340.4051,38856623.08
S30,3.288,0.1,20,23.1,0.8,4.5,15,15,0.103,0.1,0.000709,54289490.85,15421788.9,38867701.95
S31,3.288,0.1,20,23.1,0.8,4.5,15,15,0.103,1,1.58E-05,39672585.47,827964.0127,38844621.46
S32,3.288,0.1,20,23.1,0.8,4.5,15,15,0.103,1,0.000709,52519506.16,13676996.13,38842510.02
S33,3.288,0.1,20,23.1,0.8,5.5,5,5,0.013,0.1,1.58E-05,16568466.77,3155390.786,13413075.98
S34,3.288,0.1,20,23.1,0.8,5.5,5,5,0.013,0.1,0.000709,31243440.13,17839643.9,13403796.23
S35,3.288,0.1,20,23.1,0.8,5.5,5,5,0.013,1,1.58E-05,16850695.02,3458320.625,13392374.39
S36,3.288,0.1,20,23.1,0.8,5.5,5,5,0.013,1,0.000709,31558587.8,18154733.17,13403854.62
S37,3.288,0.1,20,23.1,0.8,5.5,5,5,0.103,0.1,1.58E-05,19568626.05,5789185.49,13779440.56
S38,3.288,0.1,20,23.1,0.8,5.5,5,5,0.103,0.1,0.000709,32538115.98,18712176.04,13825939.94
S39,3.288,0.1,20,23.1,0.8,5.5,5,5,0.103,1,1.58E-05,18176991.2,4350377.428,13826613.77
S40,3.288,0.1,20,23.1,0.8,5.5,5,5,0.103,1,0.000709,32834460.57,19025407.7,13809052.87
S41,3.288,0.1,20,23.1,0.8,5.5,5,15,0.013,0.1,1.58E-05,26514200.08,1042102.348,25472097.73
S42,3.288,0.1,20,23.1,0.8,5.5,5,15,0.013,0.1,0.000709,41195849.63,15725272.04,25470577.59
S43,3.288,0.1,20,23.1,0.8,5.5,5,15,0.013,1,1.58E-05,26657579.24,1193203.963,25464375.28
S44,3.288,0.1,20,23.1,0.8,5.5,5,15,0.013,1,0.000709,39493390.2,14040692.91,25452697.29
S45,3.288,0.1,20,23.1,0.8,5.5,5,15,0.103,0.1,1.58E-05,27684055.4,1788102.604,25895952.8
S46,3.288,0.1,20,23.1,0.8,5.5,5,15,0.103,0.1,0.000709,42344482.22,16462926.25,25881555.97
S47,3.288,0.1,20,23.1,0.8,5.5,5,15,0.103,1,1.58E-05,27848380.48,1963307.505,25885072.97
S48,3.288,0.1,20,23.1,0.8,5.5,5,15,0.103,1,0.000709,42536104.45,16650002.9,25886101.55
S49,3.288,0.1,20,23.1,0.8,5.5,15,5,0.013,0.1,1.58E-05,26493549.95,1004484.583,25489065.37
S50,3.288,0.1,20,23.1,0.8,5.5,15,5,0.013,0.1,0.000709,41148030.16,15662593.5,25485436.66
S51,3.288,0.1,20,23.1,0.8,5.5,15,5,0.013,1,1.58E-05,28447562.21,2972210.412,25475351.8
S52,3.288,0.1,20,23.1,0.8,5.5,15,5,0.013,1,0.000709,41298717.68,15816517.35,25482200.33
S53,3.288,0.1,20,23.1,0.8,5.5,15,5,0.103,0.1,1.58E-05,27658633.19,1740313.321,25918319.87
S54,3.288,0.1,20,23.1,0.8,5.5,15,5,0.103,0.1,0.000709,40481959.93,14568124.22,25913835.71
S55,3.288,0.1,20,23.1,0.8,5.5,15,5,0.103,1,1.58E-05,27822331.19,1921604.222,25900726.97
S56,3.288,0.1,20,23.1,0.8,5.5,15,5,0.103,1,0.000709,42512550.94,16605057.61,25907493.33
S57,3.288,0.1,20,23.1,0.8,5.5,15,15,0.013,0.1,1.58E-05,39143786.72,4506264.177,34637522.54
S58,3.288,0.1,20,23.1,0.8,5.5,15,15,0.013,0.1,0.000709,50874315.36,13315029.52,37559285.84
S59,3.288,0.1,20,23.1,0.8,5.5,15,15,0.013,1,1.58E-05,38042233.38,507070.7662,37535162.61
S60,3.288,0.1,20,23.1,0.8,5.5,15,15,0.013,1,0.000709,52723325.51,15180883.71,37542441.8
S61,3.288,0.1,20,23.1,0.8,5.5,15,15,0.103,0.1,1.58E-05,38717399.17,735417.3648,37981981.8
S62,3.288,0.1,20,23.1,0.8,5.5,15,15,0.103,0.1,0.000709,53386830,15418342.78,37968487.22
S63,3.288,0.1,20,23.1,0.8,5.5,15,15,0.103,1,1.58E-05,40613061.88,2663104.38,37949957.5
S64,3.288,0.1,20,23.1,0.8,5.5,15,15,0.103,1,0.000709,53476295.6,15513177.35,37963118.24
S65,3.288,0.1,20,23.1,0.95,4.5,5,5,0.013,0.1,1.58E-05,16594204.37,2740348.958,13853855.42
S66,3.288,0.1,20,23.1,0.95,4.5,5,5,0.013,0.1,0.000709,31299424.43,17428189.43,13871234.99
S67,3.288,0.1,20,23.1,0.95,4.5,5,5,0.013,1,1.58E-05,18642175.51,4784977.632,13857197.87
S68,3.288,0.1,20,23.1,0.95,4.5,5,5,0.013,1,0.000709,31538942.82,17706458.12,13832484.69
S69,3.288,0.1,20,23.1,0.95,4.5,5,5,0.103,0.1,1.58E-05,21288284.26,7026981.237,14261303.02
S70,3.288,0.1,20,23.1,0.95,4.5,5,5,0.103,0.1,0.000709,32492112.11,18111233.69,14380878.42
