Scenario,dhw_flow_rate,equipment_density,heating_set_point,infiltration,lighting_density,NG_MAPE,NG_CV-RMSE,Elec_MAPE,Elec_CV-RMSE,TOE_MAPE,TOE_CV-RMSE
S1836,0.000111,8.75,21,0.3,5.0,0.238035623217375,0.4374811654163452,0.6393906675309292,0.35057351016606947,0.10407460991932677,0.11802371984860055
S1637,0.000111,6.25,21,0.3,7.5,0.23807837554938374,0.43765354689221,0.6387617963527296,0.35043551210297025,0.1039157380164457,0.11810857174977826
S1537,0.000111,5.0,21,0.3,7.5,0.22002522135060756,0.3842991488180172,0.4955397643406223,0.29765151111844335,0.10360429778460624,0.1198088748062249
S1736,0.000111,7.5,21,0.3,5.0,0.22100781325097432,0.3887485079673581,0.4961848286751715,0.29788908322637403,0.10405886590533475,0.1201670306870397
S1656,0.000111,6.25,22,0.2,5.0,0.15261678002694265,0.2183362773925081,0.36232493959219997,0.24172709227236672,0.09502064760607537,0.12325732726535013
S1538,0.000111,5.0,21,0.3,10.0,0.25149221585705106,0.4775773453778349,0.7807797687494152,0.39685360859574836,0.11410342291896935,0.12328561221693564
S1441,8.38e-05,10.0,21,0.4,5.0,0.3356165966061213,0.5233262092418741,0.7804937327130915,0.3969637208885049,0.10544443698583605,0.12385506067680939
S1936,0.000111,10.0,21,0.3,5.0,0.2550221636030413,0.48852535771325206,0.7827750382772628,0.39753598737816676,0.11558080285356064,0.12431468989337971
S1737,0.000111,7.5,21,0.3,7.5,0.2554814469209604,0.4895760889462324,0.782558646871555,0.3974935374285195,0.1156947771101944,0.12443666700660021
S1242,8.38e-05,7.5,21,0.4,7.5,0.337052547170179,0.5275475930790196,0.7816564473617204,0.3973765672733031,0.1063616498915926,0.12444422139700323
S1043,8.38e-05,5.0,21,0.4,10.0,0.3345119871937115,0.5202532457009239,0.7804251249786786,0.39696445230858823,0.10567351290633092,0.12458110674742812
S563,5.65e-05,5.0,22,0.3,10.0,0.3642389756201178,0.46478231647705515,0.7822101449675682,0.3973904860000719,0.09865486503184011,0.1245967987288234
S961,5.65e-05,10.0,22,0.3,5.0,0.3642353861077572,0.4629511707507142,0.7826517457051397,0.3974663432002946,0.09863338006999962,0.12499173228234073
S861,5.65e-05,8.75,22,0.3,5.0,0.3478764820882579,0.41527857734276385,0.6399075442901652,0.35077051253212,0.1001545430159685,0.12537660167933953
S762,5.65e-05,7.5,22,0.3,7.5,0.3629869533264174,0.45866789257025303,0.7820771854464311,0.3973011309929811,0.09873685547643585,0.1255234346875761
S1256,8.38e-05,7.5,22,0.2,5.0,0.2726935650127451,0.35607030199750156,0.4989138590746938,0.2984568796036152,0.09949398299542839,0.12581455566501695
S1556,0.000111,5.0,22,0.2,5.0,0.14250219991569676,0.18910652560836608,0.25301300387037223,0.19128499726807707,0.09631123247095437,0.12585279074534272
S1057,8.38e-05,5.0,22,0.2,7.5,0.2740512928759716,0.36117613635406154,0.4988506600703349,0.29871049674503924,0.10028091278147773,0.12610825783451365
S662,5.65e-05,6.25,22,0.3,7.5,0.3457216907086029,0.40807161278465537,0.6389843295674071,0.35042919837341757,0.09963519593074233,0.12628144716316522
S1342,8.38e-05,8.75,21,0.4,7.5,0.35637325654678836,0.5893430043111025,0.9242479988316926,0.4385485179215251,0.11114065727256728,0.12629130219890847
S1143,8.38e-05,6.25,21,0.4,10.0,0.35302734144144493,0.5777404193981835,0.9230913702386682,0.43813497552467384,0.11047154295884588,0.12677168990269036
S1356,8.38e-05,8.75,22,0.2,5.0,0.2919225021685787,0.41591407332679703,0.6420222431982087,0.3512857369981081,0.10153757382119143,0.12678392106190078
S1157,8.38e-05,6.25,22,0.2,7.5,0.29160418281802797,0.4146469527062385,0.641867352414004,0.35138910600800133,0.10210592126442651,0.12709674913454794
S163,2.93e-05,6.25,22,0.3,10.0,0.4891495349260952,0.7417221245494734,0.92478701390573,0.4384660207003279,0.10479971152468598,0.12819951052910644
S1341,8.38e-05,8.75,21,0.4,5.0,0.3209755339883316,0.4677102363368809,0.638002621465937,0.35015210279980447,0.1067280637984145,0.12908940848961736
S1841,0.000111,8.75,21,0.4,5.0,0.20662167964381165,0.3250961808440702,0.6373051984618398,0.35004221519243717,0.10108173136926223,0.1291722194043162
S362,2.93e-05,8.75,22,0.3,7.5,0.49330247249441334,0.7645098761830159,0.9258159309488146,0.4388396932434475,0.10541319362635122,0.12930264583522014
S1741,0.000111,7.5,21,0.4,5.0,0.1997415765086317,0.29254625238619214,0.49412588968130233,0.29744184080545066,0.10103130172660559,0.1297468313152388
S1756,0.000111,7.5,22,0.2,5.0,0.16288898426188955,0.24596216993549241,0.49784088933116877,0.2981419686806195,0.10291478092501953,0.12982318800553905
S1142,8.38e-05,6.25,21,0.4,7.5,0.3206803851212898,0.46561773647537186,0.6375225676335489,0.350059528190153,0.10722285935312659,0.13011709141753178
S942,5.65e-05,10.0,21,0.4,7.5,0.5023952358933274,0.9207772970909778,1.0669662977384282,0.474795580362681,0.1161888195466702,0.1302664944280141
S544,5.65e-05,5.0,21,0.4,12.5,0.5012944168699696,0.9144109092114664,1.0664682258009084,0.4746533652036164,0.11622394435078169,0.13028555045407741
S1617,0.000111,6.25,20,0.4,7.5,0.25820970038353513,0.4927618869096112,0.6364737341646743,0.3497594855935801,0.11405690077846424,0.13029231842335542
S263,2.93e-05,7.5,22,0.3,10.0,0.508173645977,0.8369387786367304,1.0675042396987302,0.47476241717414147,0.10624122835966598,0.13033644641274306
S1642,0.000111,6.25,21,0.4,7.5,0.20676131288197167,0.32380585814063023,0.6374769505717398,0.35007059853260303,0.10188395824309295,0.13036182086606626
S743,5.65e-05,7.5,21,0.4,10.0,0.5016786655954428,0.9167016475057118,1.0667709910962426,0.4747534852342524,0.11637466604997944,0.13050699347354902
S1557,0.000111,5.0,22,0.2,7.5,0.16430826582752703,0.24907051857648432,0.4984861773856459,0.29840849933420643,0.10393689624901864,0.13059333703767034
S64,2.93e-05,5.0,22,0.3,12.5,0.5085709093782537,0.8373630439685469,1.0680980286877413,0.4749595549521097,0.10708165208496623,0.13098484695932153
S1636,0.000111,6.25,21,0.3,5.0,0.20949684672898136,0.34913590863772903,0.3620081660015781,0.24144061079524548,0.11160106439727564,0.13114692337930425
S462,2.93e-05,10.0,22,0.3,7.5,0.5104280451173576,0.8480614975275117,1.0693150826230413,0.47531477553871826,0.10731673318404687,0.13122971112995638
S168,2.93e-05,6.25,22,0.4,10.0,0.437206681290625,0.5503571336588989,0.923457269265395,0.4382804319401087,0.09790583788645747,0.13129610448009826
S1062,8.38e-05,5.0,22,0.3,7.5,0.23062572830201736,0.23934784030017225,0.49526018477309836,0.2975322730008929,0.09309044523311605,0.13158916813748425
S367,2.93e-05,8.75,22,0.4,7.5,0.4375093382047188,0.5500636229030381,0.9240822964866701,0.43845964335681475,0.09796956297701377,0.1316045048579817
S1156,8.38e-05,6.25,22,0.2,5.0,0.2548824437871013,0.3111995003749106,0.3621037068899768,0.2415942851102773,0.11100915886256196,0.13187945420222552
S1816,0.000111,8.75,20,0.4,5.0,0.262050875689303,0.5044423633994811,0.6379546962331654,0.3503439561906386,0.11509158743265956,0.1319977676921954
S1717,0.000111,7.5,20,0.4,7.5,0.27206360306632965,0.5376713907053948,0.779062832185874,0.3964188993867655,0.12156502273155934,0.13211499680327457
S1436,8.38e-05,10.0,21,0.3,5.0,0.3828298070275336,0.6861986850538683,0.7816693581090767,0.39712788325974435,0.11071047732907123,0.13224772870433973
S1821,0.000111,8.75,20,0.5,5.0,0.22484339497976039,0.381818293496336,0.6354766352974192,0.34951960076998195,0.10963965882987402,0.13225095949893964
S1542,0.000111,5.0,21,0.4,7.5,0.19879977670339752,0.2870144532928426,0.4932275230458342,0.2970810260552445,0.10134716658677233,0.1323424107464929
S643,5.65e-05,6.25,21,0.4,10.0,0.4827376654368874,0.8248468122359268,0.9231594595584046,0.4381659697546695,0.11476307910256921,0.13248238932265544
S862,5.65e-05,8.75,22,0.3,7.5,0.3814050282534042,0.5160010290166772,0.9250475491873654,0.4385461944657797,0.10965718576278426,0.13292961507370607
